,Unnamed: 0,latitude,longitude,property_type,room_type,beds,accommodates,price,number_of_reviews,review_scores_rating,host_is_superhost,host_listings_count,host_total_listings_count
12920,17156,40.81002,-73.85127,Entire rental unit,Entire home/apt,2.0,5,135.0,70,4.84,True,2.0,2.0
12921,17157,40.84398,-73.93749,Private room in rental unit,Private room,2.0,3,75.0,10,4.7,False,1.0,7.0
12922,17158,40.8009,-73.95135,Private room in condo,Private room,1.0,1,55.0,3,4.0,False,1.0,5.0
12923,17159,40.79817,-73.96785,Entire rental unit,Entire home/apt,2.0,4,80.0,2,3.5,False,1.0,1.0
12924,17160,40.68019,-73.91056,Entire serviced apartment,Entire home/apt,1.0,2,115.0,55,4.8,False,1.0,2.0
12925,17162,40.78145,-73.98185,Entire rental unit,Entire home/apt,2.0,4,345.0,41,5.0,False,1.0,1.0
12926,17163,40.76201,-73.99514,Private room in rental unit,Private room,1.0,1,130.0,1,5.0,False,1.0,3.0
12927,17164,40.6566437872609,-73.8452574766037,Entire rental unit,Entire home/apt,2.0,5,159.0,1,5.0,False,1.0,2.0
12928,17165,40.75834,-73.93123,Entire home,Entire home/apt,4.0,8,268.0,94,4.84,False,1.0,1.0
12929,17166,40.72978349622541,-74.00730152763894,Entire rental unit,Entire home/apt,1.0,2,187.0,5,4.4,False,1.0,1.0
12930,17167,40.71284,-73.98969,Entire rental unit,Entire home/apt,3.0,5,500.0,12,4.67,False,1.0,8.0
12931,17168,40.72678,-73.98194,Entire rental unit,Entire home/apt,5.0,8,454.0,94,4.87,False,2.0,2.0
12932,17169,40.75187,-73.98429,Entire rental unit,Entire home/apt,2.0,5,152.0,2,4.0,False,1.0,1.0
12933,17170,40.62534,-74.07705,Entire rental unit,Entire home/apt,5.0,8,186.0,243,4.35,False,4.0,5.0
12934,17171,40.62324,-74.07525,Entire rental unit,Entire home/apt,5.0,8,185.0,6,4.83,False,4.0,5.0
12935,17172,40.6237,-74.07517,Entire rental unit,Entire home/apt,4.0,8,165.0,40,4.08,False,4.0,5.0
12936,17173,40.75858,-73.92946,Private room in home,Private room,3.0,1,95.0,52,4.85,True,3.0,4.0
12937,17174,40.68567,-73.92846,Entire rental unit,Entire home/apt,4.0,6,238.0,78,4.72,True,1.0,1.0
12938,17175,40.79699,-73.9632,Private room in rental unit,Private room,1.0,2,75.0,102,4.51,False,1.0,2.0
12939,17176,40.63451,-74.02786,Shared room in bungalow,Shared room,1.0,1,28.0,2,5.0,False,1.0,1.0
12941,17178,40.68632,-73.92064,Private room in rental unit,Private room,1.0,1,35.0,1,3.0,False,1.0,2.0
